pmid,sentence,masked_sentence,abbr,FS
9674903,Fluorescent in situ hybridization analysis demonstrated that the PWS critical region resided on the derivative chromosome 3 and that there was no deletion of the PWS region on the normal pair of 15s present in J.,Fluorescent in situ hybridization analysis demonstrated that the PWS critical region resided on the derivative chromosome 3 and that there was no deletion of the PWS region on the normal pair of 15s present in J.,PWS,prader-willi syndrome
9863607,"Myotonic dystrophy (DM) is an autosomal dominant disease which, in the typical pedigree, shows a three generation anticipation cascade."," DM is an autosomal dominant disease which, in the typical pedigree, shows a three generation anticipation cascade.",DM,myotonic dystrophy
9863607,This results in infertility and congenital myotonic dystrophy (CDM) with the disappearance of DM in that pedigree.,This results in infertility and congenital  (CDM) with the disappearance of DM in that pedigree.,DM,myotonic dystrophy
9863607,"The concept of segregation distortion, where there is preferential transmission of the larger allele at the DM locus, has been put forward to explain partially the maintenance of DM in the population.","The concept of segregation distortion, where there is preferential transmission of the larger allele at the DM locus, has been put forward to explain partially the maintenance of DM in the population.",DM,myotonic dystrophy
9863607,"In a survey of DM in Northern Ireland, 59 pedigrees were ascertained.","In a survey of DM in Northern Ireland, 59 pedigrees were ascertained.",DM,myotonic dystrophy
9863607,Sibships where the status of all the members had been identified were examined to determine the transmission of the DM expansion from affected parents to their offspring.,Sibships where the status of all the members had been identified were examined to determine the transmission of the DM expansion from affected parents to their offspring.,DM,myotonic dystrophy
9863607,Studies on meiotic drive in DM have shown increased transmission of the larger allele at the DM locus in non-DM heterozygotes for CTGn.,Studies on meiotic drive in DM have shown increased transmission of the larger allele at the DM locus in non-DM heterozygotes for CTGn.,DM,myotonic dystrophy
9863607,This study provides further evidence that the DM expansion tends to be transmitted preferentially.,This study provides further evidence that the DM expansion tends to be transmitted preferentially.,DM,myotonic dystrophy
9863607,This results in infertility and congenital myotonic dystrophy (CDM) with the disappearance of DM in that pedigree.,This results in infertility and  CDM with the disappearance of DM in that pedigree.,CDM,congenital myotonic dystrophy
9443866,"To facilitate the evaluation of ATM heterozygotes for susceptibility to other diseases, such as breast cancer, we have attempted to define the most common mutations and their frequencies in ataxia-telangiectasia (A-T) homozygotes from 10 ethnic populations.","To facilitate the evaluation of ATM heterozygotes for susceptibility to other diseases, such as breast cancer, we have attempted to define the most common mutations and their frequencies in  A-T homozygotes from 10 ethnic populations.",A-T,ataxia-telangiectasia
9443866,These assays should facilitate screening for A-T heterozygotes in the populations studied..,These assays should facilitate screening for A-T heterozygotes in the populations studied..,A-T,ataxia-telangiectasia
9668171,A (CTG) nexpansion in the 3-untranslated region (UTR) of the DM protein kinase gene (DMPK) is responsible for causing myotonic dystrophy (DM).,A (CTG) nexpansion in the 3-untranslated region (UTR) of the DM protein kinase gene (DMPK) is responsible for causing  DM.,DM,myotonic dystrophy
9668171,The trinucleotide repeat instability mechanisms involved in DM and other human genetic diseases are unknown.,The trinucleotide repeat instability mechanisms involved in DM and other human genetic diseases are unknown.,DM,myotonic dystrophy
9668171,"We studied somatic instability by measuring the CTG repeat length at several ages in various tissues of transgenic mice carrying a (CTG) 55expansion surrounded by 45 kb of the human DM region, using small-pool PCR.","We studied somatic instability by measuring the CTG repeat length at several ages in various tissues of transgenic mice carrying a (CTG) 55expansion surrounded by 45 kb of the human DM region, using small-pool PCR.",DM,myotonic dystrophy
9668171,"As observed in some of the tissues of DM patients, there is a tendency for repeat length and somatic mosaicism to increase with the age of the mouse.","As observed in some of the tissues of DM patients, there is a tendency for repeat length and somatic mosaicism to increase with the age of the mouse.",DM,myotonic dystrophy
9463314,We report the spectrum of 59 ATM mutations observed in ataxia-telangiectasia (A-T) patients in the British Isles.,We report the spectrum of 59 ATM mutations observed in  A-T patients in the British Isles.,A-T,ataxia-telangiectasia
9463314,"We report, in two A-T families, an ATM mutation (7271T-- > G) that may be associated with an increased risk of breast cancer in both homozygotes and heterozygotes (relative risk 12.","We report, in two A-T families, an ATM mutation (7271T-- > G) that may be associated with an increased risk of breast cancer in both homozygotes and heterozygotes (relative risk 12.",A-T,ataxia-telangiectasia
9463314,"0025), although there is a less severe A-T phenotype in terms of the degree of cerebellar degeneration.","0025), although there is a less severe A-T phenotype in terms of the degree of cerebellar degeneration.",A-T,ataxia-telangiectasia
9463314,"In addition, we have studied 18 A-T patients, in 15 families, who developed leukemia, lymphoma, preleukemic T-cell proliferation, or Hodgkin lymphoma, mostly in childhood.","In addition, we have studied 18 A-T patients, in 15 families, who developed leukemia, lymphoma, preleukemic T-cell proliferation, or Hodgkin lymphoma, mostly in childhood.",A-T,ataxia-telangiectasia
9463314,"We also show that 25% of all A-T patients carried in-frame deletions or missense mutations, many of which were also associated with expression of mutant ATM protein.","We also show that 25% of all A-T patients carried in-frame deletions or missense mutations, many of which were also associated with expression of mutant ATM protein.",A-T,ataxia-telangiectasia
9790667,A novel C to A mutation in the sterol 27-hydroxylase gene (CYP27) was identified by sequencing amplified CYP27 gene products from a patient with cerebrotendinous xanthomatosis (CTX).,A novel C to A mutation in the sterol 27-hydroxylase gene (CYP27) was identified by sequencing amplified CYP27 gene products from a patient with  CTX.,CTX,cerebrotendinous xanthomatosis
9702690,We report a Japanese family with adrenoleukodystrophy (ALD) with a three base pair deletion (delGAG 291) in the ALD gene.,We report a Japanese family with  ALD with a three base pair deletion (delGAG 291) in the ALD gene.,ALD,adrenoleukodystrophy
9702690,"While the proband (patient 1) was classified as having a rare intermediate type of adult cerebral and cerebello-brain stem forms, his younger brother (patient 2) and nephew (patient 3) had a childhood ALD type.","While the proband (patient 1) was classified as having a rare intermediate type of adult cerebral and cerebello-brain stem forms, his younger brother (patient 2) and nephew (patient 3) had a childhood ALD type.",ALD,adrenoleukodystrophy
9702690,The findings in this family suggest that delGAG291 is part of the cause of Japanese ALD with phenotypic variations.,The findings in this family suggest that delGAG291 is part of the cause of Japanese ALD with phenotypic variations.,ALD,adrenoleukodystrophy
9702690,The tau level in the cerebrospinal fluid (CSF) in patient 1 was as high as that of patients with Alzheimers disease (AD).,The tau level in the cerebrospinal fluid (CSF) in patient 1 was as high as that of patients with  AD.,AD,alzheimers disease
9618166,Pendred syndrome is an autosomal recessive disorder characterized by early childhood deafness and goiter., is an autosomal recessive disorder characterized by early childhood deafness and goiter.,PDS,pendred syndrome
9618166,We performed mutation analysis of the PDS gene in patients from 14 Pendred families originating from seven countries and identified all mutations.,We performed mutation analysis of the PDS gene in patients from 14 Pendred families originating from seven countries and identified all mutations.,PDS,pendred syndrome
9618166,The identification of two frequent PDS mutations will facilitate the molecular diagnosis of Pendred syndrome.,The identification of two frequent PDS mutations will facilitate the molecular diagnosis of .,PDS,pendred syndrome
9427148,Aspartylglucosaminuria (AGU) is a rare disorder of glycoprotein metabolism caused by the deficiency of the lysosomal enzyme aspartylglucosaminidase (AGA)., AGU is a rare disorder of glycoprotein metabolism caused by the deficiency of the lysosomal enzyme aspartylglucosaminidase (AGA).,AGU,aspartylglucosaminuria
9427148,"While very few patients with AGU have been reported from non-Finnish origin, we diagnosed the disorder in 8 patients originating from 3 unrelated families, all Palestinian Arabs from the region of Jerusalem.","While very few patients with AGU have been reported from non-Finnish origin, we diagnosed the disorder in 8 patients originating from 3 unrelated families, all Palestinian Arabs from the region of Jerusalem.",AGU,aspartylglucosaminuria
9427148,"The clinical diagnosis of AGU is often difficult, in particular early in the course of the disease, and most of the patients are diagnosed after the age of 5 years.","The clinical diagnosis of AGU is often difficult, in particular early in the course of the disease, and most of the patients are diagnosed after the age of 5 years.",AGU,aspartylglucosaminuria
9467011,"In addition, PTEN was identified as the susceptibility gene for two hamartoma syndromes  Cowden disease (CD; MIM 158350) and Bannayan-Zonana (BZS) or Ruvalcaba-Riley-Smith syndrome (MIM 153480).","In addition, PTEN was identified as the susceptibility gene for two hamartoma syndromes   (CD; MIM 158350) and Bannayan-Zonana (BZS) or Ruvalcaba-Riley-Smith syndrome (MIM 153480).",CD,cowden disease
9467011,Constitutive DNA from 37 CD families and seven BZS families was screened for germline PTEN mutations.,Constitutive DNA from 37 CD families and seven BZS families was screened for germline PTEN mutations.,CD,cowden disease
9467011,"PTEN mutations were identified in 30 of 37 (81%) CD families, including missense and nonsense point mutations, deletions, insertions, a deletion/insertion and splice site mutations.","PTEN mutations were identified in 30 of 37 (81%) CD families, including missense and nonsense point mutations, deletions, insertions, a deletion/insertion and splice site mutations.",CD,cowden disease
9467011,"A hot spot for PTEN mutation in CD was identified in exon 5 that contains the PTPase core motif, with 13 of 30 (43%) CD mutations identified in this exon.","A hot spot for PTEN mutation in CD was identified in exon 5 that contains the PTPase core motif, with 13 of 30 (43%) CD mutations identified in this exon.",CD,cowden disease
9467011,"It is also worthy of note that a single nonsense point mutation, R233X, was observed in the germline DNA from two unrelated CD families and one BZS family.","It is also worthy of note that a single nonsense point mutation, R233X, was observed in the germline DNA from two unrelated CD families and one BZS family.",CD,cowden disease
9467011,"However, genotype-phenotype analysis inthe group of CD families revealed two possible associations worthy of follow-up in independent analyses.","However, genotype-phenotype analysis inthe group of CD families revealed two possible associations worthy of follow-up in independent analyses.",CD,cowden disease
9467011,The first was an association noted in the group of CD families with breast disease.,The first was an association noted in the group of CD families with breast disease.,CD,cowden disease
9467011,"However, these observations would need to be confirmed by studying a larger number of CD families.","However, these observations would need to be confirmed by studying a larger number of CD families.",CD,cowden disease
9467011,Constitutive DNA from 37 CD families and seven BZS families was screened for germline PTEN mutations.,Constitutive DNA from 37 CD families and seven BZS families was screened for germline PTEN mutations.,BZS,bannayan-zonana syndrome
9467011,Germline PTEN mutations were identified in four of seven (57%) BZS families studied.,Germline PTEN mutations were identified in four of seven (57%) BZS families studied.,BZS,bannayan-zonana syndrome
9467011,"It is also worthy of note that a single nonsense point mutation, R233X, was observed in the germline DNA from two unrelated CD families and one BZS family.","It is also worthy of note that a single nonsense point mutation, R233X, was observed in the germline DNA from two unrelated CD families and one BZS family.",BZS,bannayan-zonana syndrome
9467011,Genotype-phenotype studies were not performed on this small group of BZS families.,Genotype-phenotype studies were not performed on this small group of BZS families.,BZS,bannayan-zonana syndrome
9358014,Recent studies have shown that hereditary hemochromatosis (HH) is likely to be caused by homozygosity for a Cys282Tyr mutation in the HFE gene located 4.,Recent studies have shown that  HH is likely to be caused by homozygosity for a Cys282Tyr mutation in the HFE gene located 4.,HH,hereditary hemochromatosis
9358014,"Comparisons with allele frequencies based on prevalence estimates of HH showed some disagreements with the RFLP data, particularly in Finns.","Comparisons with allele frequencies based on prevalence estimates of HH showed some disagreements with the RFLP data, particularly in Finns.",HH,hereditary hemochromatosis
9358014,The newly described HFE marker provides a new approach to the screening of HH as well as studies of the relationship between the HFE Tyr allele and different disorders including cancer,The newly described HFE marker provides a new approach to the screening of HH as well as studies of the relationship between the HFE Tyr allele and different disorders including cancer,HH,hereditary hemochromatosis
9382108,The first predictive testing for Huntington disease (HD) was based on analysis of linked polymorphic DNA markers to estimate the likelihood of inheriting the mutation for HD.,The first predictive testing for  HD was based on analysis of linked polymorphic DNA markers to estimate the likelihood of inheriting the mutation for HD.,HD,huntington disease
9382108,"With direct tests for the HD mutation, we have assessed the accuracy of results obtained by linkage approaches when requested to do so by the test individuals.","With direct tests for the HD mutation, we have assessed the accuracy of results obtained by linkage approaches when requested to do so by the test individuals.",HD,huntington disease
9771706,Wolfram syndrome (WFS; OMIM 222300) is an autosomal recessive neurodegenerative disorder defined by young-onset non-immune insulin-dependent diabetes mellitus and progressive optic atrophy., (WFS; OMIM 222300) is an autosomal recessive neurodegenerative disorder defined by young-onset non-immune insulin-dependent diabetes mellitus and progressive optic atrophy.,WFS,wolfram syndrome
9771706,"On the basis of meiotic recombinants and disease-associated haplotypes, the WFS gene was localized to a BAC/P1 contig of less than 250 kb.","On the basis of meiotic recombinants and disease-associated haplotypes, the WFS gene was localized to a BAC/P1 contig of less than 250 kb.",WFS,wolfram syndrome
9771706,"Mutations in a novel gene (WFS1) encoding a putative transmembrane protein were found in all affected individuals in six WFS families, and these mutations were associated with the disease phenotype.","Mutations in a novel gene (WFS1) encoding a putative transmembrane protein were found in all affected individuals in six WFS families, and these mutations were associated with the disease phenotype.",WFS,wolfram syndrome
9506545,"We compared horizontal eye movements (visually guided saccades, antisaccades, and smooth pursuit) in control subjects (n = 14) and patients with three forms of autosomal dominant cerebellar ataxias type I spinocerebellar ataxias 1 and 2 (SCA1, n = 11; SCA2, n = 10) and SCA3/Machado-Joseph disease (MJD) (n = 16).","We compared horizontal eye movements (visually guided saccades, antisaccades, and smooth pursuit) in control subjects (n = 14) and patients with three forms of autosomal dominant cerebellar ataxias type I spinocerebellar ataxias 1 and 2 (SCA1, n = 11; SCA2, n = 10) and SCA3/ MJD (n = 16).",MJD,machado-joseph disease
9288106,Ataxia-telangiectasia (A-T) is a recessive multi-system disorder caused by mutations in the ATM gene at 11q22-q23 (ref., A-T is a recessive multi-system disorder caused by mutations in the ATM gene at 11q22-q23 (ref.,A-T,ataxia-telangiectasia
9288106,"The risk of cancer, especially lymphoid neoplasias, is substantially elevated in A-T patients and has long been associated with chromosomal instability.","The risk of cancer, especially lymphoid neoplasias, is substantially elevated in A-T patients and has long been associated with chromosomal instability.",A-T,ataxia-telangiectasia
9288106,Two of seventeen mutated T-PLL samples had a previously reported A-T allele.,Two of seventeen mutated T-PLL samples had a previously reported A-T allele.,A-T,ataxia-telangiectasia
9714764,A gene encoding a novel transmembrane protein was identified by DNA sequence analysis within the insulin-dependent diabetes mellitus (IDDM) locus IDDM4 on chromosome 11q13.,A gene encoding a novel transmembrane protein was identified by DNA sequence analysis within the  IDDM locus IDDM4 on chromosome 11q13.,IDDM,insulin-dependent diabetes mellitus
9792409,Germline mutations in the ATM gene are responsible for the autosomal recessive disorder ataxia-telangiectasia (A-T).,Germline mutations in the ATM gene are responsible for the autosomal recessive disorder  A-T.,A-T,ataxia-telangiectasia
9792409,"In our study, we have determined the ATM mutation spectrum in 19 classical A-T patients, including some immigrant populations, as well as 12 of Dutch ethnic origin.","In our study, we have determined the ATM mutation spectrum in 19 classical A-T patients, including some immigrant populations, as well as 12 of Dutch ethnic origin.",A-T,ataxia-telangiectasia
9792409,"The most frequently found mutation, identified in three unrelated Turkish A-T individuals, was previously described to be a Turkish A-T founder mutation.","The most frequently found mutation, identified in three unrelated Turkish A-T individuals, was previously described to be a Turkish A-T founder mutation.",A-T,ataxia-telangiectasia
9792409,All patients manifested classical A-T and increased cellular radioresistant DNA synthesis.,All patients manifested classical A-T and increased cellular radioresistant DNA synthesis.,A-T,ataxia-telangiectasia
9674906,"Recent studies demonstrated the existence of a genetically distinct, usually lethal form of the Schwartz-Jampel syndrome (SJS) of myotonia and skeletal dysplasia, which we called SJS type 2.","Recent studies demonstrated the existence of a genetically distinct, usually lethal form of the  SJS of myotonia and skeletal dysplasia, which we called SJS type 2.",SJS,schwartz-jampel syndrome
9674906,"To test for possible nosologic identity between these disorders, we reviewed the literature and obtained a follow-up of the only two surviving patients, one with SJS type 2 at age 10 years and another with SWS at age 7 years.","To test for possible nosologic identity between these disorders, we reviewed the literature and obtained a follow-up of the only two surviving patients, one with SJS type 2 at age 10 years and another with SWS at age 7 years.",SJS,schwartz-jampel syndrome
9674906,"Patients reported as having either neonatal SJS or SWS presented a combination of a severe, prenatal-onset neuromuscular disorder (with congenital joint contractures, respiratory and feeding difficulties, tendency to hyperthermia, and frequent death in infancy) with a distinct campomelic-metaphyseal skeletal dysplasia.","Patients reported as having either neonatal SJS or SWS presented a combination of a severe, prenatal-onset neuromuscular disorder (with congenital joint contractures, respiratory and feeding difficulties, tendency to hyperthermia, and frequent death in infancy) with a distinct campomelic-metaphyseal skeletal dysplasia.",SJS,schwartz-jampel syndrome
9674906,"The follow-up observation of an identical and unique pattern of progressive bone dysplasia in the two patients (one with SJS type 2, one with SWS) surviving beyond infancy adds to the evidence in favor of identity.","The follow-up observation of an identical and unique pattern of progressive bone dysplasia in the two patients (one with SJS type 2, one with SWS) surviving beyond infancy adds to the evidence in favor of identity.",SJS,schwartz-jampel syndrome
9674906,The hypothesis that SWS and SJS type 2 are the same disorder should be testable by molecular methods..,The hypothesis that SWS and SJS type 2 are the same disorder should be testable by molecular methods..,SJS,schwartz-jampel syndrome
9674906,"This disorder is reminiscent of another rare condition, the Stuve-Wiedemann syndrome (SWS), which comprises campomelia at birth with skeletal dysplasia, contractures, and early death.","This disorder is reminiscent of another rare condition, the  SWS, which comprises campomelia at birth with skeletal dysplasia, contractures, and early death.",SWS,stuve-wiedemann syndrome
9674906,"To test for possible nosologic identity between these disorders, we reviewed the literature and obtained a follow-up of the only two surviving patients, one with SJS type 2 at age 10 years and another with SWS at age 7 years.","To test for possible nosologic identity between these disorders, we reviewed the literature and obtained a follow-up of the only two surviving patients, one with SJS type 2 at age 10 years and another with SWS at age 7 years.",SWS,stuve-wiedemann syndrome
9674906,"Patients reported as having either neonatal SJS or SWS presented a combination of a severe, prenatal-onset neuromuscular disorder (with congenital joint contractures, respiratory and feeding difficulties, tendency to hyperthermia, and frequent death in infancy) with a distinct campomelic-metaphyseal skeletal dysplasia.","Patients reported as having either neonatal SJS or SWS presented a combination of a severe, prenatal-onset neuromuscular disorder (with congenital joint contractures, respiratory and feeding difficulties, tendency to hyperthermia, and frequent death in infancy) with a distinct campomelic-metaphyseal skeletal dysplasia.",SWS,stuve-wiedemann syndrome
9674906,The hypothesis that SWS and SJS type 2 are the same disorder should be testable by molecular methods..,The hypothesis that SWS and SJS type 2 are the same disorder should be testable by molecular methods..,SWS,stuve-wiedemann syndrome
9729124,Congenital chloride diarrhea (CLD) is caused by mutations in a gene which encodes an intestinal anion transporter., CLD is caused by mutations in a gene which encodes an intestinal anion transporter.,CLD,congenital chloride diarrhea
9729124,"We report here the complete genomic organization of the human CLD gene which spans approximately 39kb, and comprises 21 exons.","We report here the complete genomic organization of the human CLD gene which spans approximately 39kb, and comprises 21 exons.",CLD,congenital chloride diarrhea
9729124,The genomic structure was determined using DNA from several sources including multiple large-insert libaries and genomic DNA from Finnish CLD patients and controls.,The genomic structure was determined using DNA from several sources including multiple large-insert libaries and genomic DNA from Finnish CLD patients and controls.,CLD,congenital chloride diarrhea
9729124,"Genomic sequencing of a BAC clone H_RG364P16 revealed the presence of another, highly homologous gene 3 of the CLD gene, with a similar genomic structure, recently identified as the Pendred syndrome gene (PDS)..","Genomic sequencing of a BAC clone H_RG364P16 revealed the presence of another, highly homologous gene 3 of the CLD gene, with a similar genomic structure, recently identified as the Pendred syndrome gene (PDS)..",CLD,congenital chloride diarrhea
9729124,"Genomic sequencing of a BAC clone H_RG364P16 revealed the presence of another, highly homologous gene 3 of the CLD gene, with a similar genomic structure, recently identified as the Pendred syndrome gene (PDS)..","Genomic sequencing of a BAC clone H_RG364P16 revealed the presence of another, highly homologous gene 3 of the CLD gene, with a similar genomic structure, recently identified as the  gene PDS..",PDS,pendred syndrome
9585605,"Angelman syndrome (AS) is caused by chromosome 15q11-q13 deletions of maternal origin, by paternal uniparental disomy (UPD) 15, by imprinting defects, and by mutations in the UBE3A gene."," AS is caused by chromosome 15q11-q13 deletions of maternal origin, by paternal uniparental disomy (UPD) 15, by imprinting defects, and by mutations in the UBE3A gene.",AS,angelman syndrome
9585605,Here we describe UBE3A coding-region mutations detected by SSCP analysis in 13 AS individuals or families.,Here we describe UBE3A coding-region mutations detected by SSCP analysis in 13 AS individuals or families.,AS,angelman syndrome
9585605,"In two familial cases and one sporadic case, mosaicism for UBE3A mutations was detected  in the mother of three AS sons, in the maternal grandfather of two AS first cousins, and in the mother of an AS daughter.","In two familial cases and one sporadic case, mosaicism for UBE3A mutations was detected  in the mother of three AS sons, in the maternal grandfather of two AS first cousins, and in the mother of an AS daughter.",AS,angelman syndrome
